Area_Axon,Area_Fiber,Centroid_X,Centroid_Y,Perimeter_Fiber,Perimeter_Axon,FiberDiameter_MinFeret,AxonDiameter_MinFeret,MyelinThickness_MinFeret,g_ratio_MinFeret,FiberDiameter_Circle,AxonDiameter_Circle,MyelinThickness_Circle,g_ratio_Circle,FiberDiameter_ShapeAdjustedEllipse,AxonDiameter_ShapeAdjustedEllipse,MyelinThickness_ShapeAdjustedEllipse,g_ratio_ShapeAdjustedEllipse
3.37,3.34,74.1,-56.3,15.97,12.31,2.47,1.44,0.515,0.582996,3.695409,2.071954,0.811728,0.560683,1.828877,0.711628,0.558624,0.389107
1.85,5.53,66.2,-56.7,8.98,6.52,1.77,0.98,0.395,0.553672,2.388934,1.535151,0.426892,0.642609,1.43316,0.776868,0.328146,0.542067
1.63,7.72,56.3,-57.3,8.06,6.18,1.96,1.37,0.295,0.69898,2.162212,1.440983,0.360614,0.66644,1.314145,0.360047,0.477049,0.273978
1.92,3.09,61.7,-57.8,8.44,5.91,1.76,1.05,0.355,0.596591,2.412811,1.563925,0.424443,0.648175,1.634985,0.465343,0.584821,0.284616
1.34,2.67,73.5,-58.6,9.86,6.81,2.06,1.19,0.435,0.57767,2.467625,1.306525,0.58055,0.529466,1.354393,0.518119,0.418137,0.382547
1.47,3.76,66.6,-59,7.6,5.26,2.06,1.39,0.335,0.674757,2.114554,1.368434,0.37306,0.64715,1.364485,0.396939,0.483773,0.290908
2.34,5.13,66.5,-61.3,9.92,6.75,2.3,1.37,0.465,0.595652,2.794444,1.726526,0.533959,0.617842,1.842864,0.977216,0.432824,0.53027
0.57,2.06,45.1,-61.1,5.61,3.3,1.19,0.52,0.335,0.436975,1.639481,0.852124,0.393679,0.519752,0.580342,0.244546,0.167898,0.421383
1.91,2.58,61.6,-62.3,7.66,5.5,1.82,1.21,0.305,0.664835,2.257331,1.559846,0.348742,0.691014,1.566135,0.520727,0.522704,0.332492
1.55,2.78,46.6,-62.6,7.13,4.68,2.02,1.31,0.355,0.648515,2.053427,1.405177,0.324125,0.684308,1.411388,0.528841,0.441274,0.374695
1.79,1.98,57.2,-63,8.55,5.78,2.01,1.18,0.415,0.587065,2.431219,1.510051,0.460584,0.621109,1.631023,0.440739,0.595142,0.270222
