Area_Axon,Centroid_X,Centroid_Y,Perimeter_Axon,AxonDiameter_MinFeret,AxonDiameter_Circle,AxonDiameter_ShapeAdjustedEllipse
0.43,21.2,-41.5,2.37,0.69,0.740115,0.629274
0.57,21,-42.1,2.9,0.64,0.852124,0.610413
0.44,16.7,-45.5,2.62,0.54,0.748672,0.507116
0.27,17.4,-43.2,2.14,0.37,0.586472,0.369188
0.1,16,-42.6,1.32,0.22,0.356915,0.220159
0.05,14.4,-43.1,0.82,0.22,0.252377,0.204056
0.66,26,-45.6,3.63,0.56,0.916932,0.509965
0.55,24.1,-45.1,3.03,0.62,0.837041,0.533766
0.54,23,-44.5,2.98,0.67,0.829396,0.535678
0.24,23.4,-45.2,2.08,0.35,0.552931,0.331647
0.93,23.9,-46.4,3.98,0.69,1.088445,0.682403
0.74,26.1,-46.8,3.68,0.67,0.970915,0.575295
0.39,28.1,-49.9,2.3,0.64,0.704851,0.561069
0.93,27.3,-50.5,3.55,0.94,1.088445,0.867497
0.71,27,-51.3,3.26,0.7,0.95103,0.670943
0.46,27.2,-51.9,2.76,0.53,0.765498,0.491501
0.59,28.6,-50.5,2.88,0.71,0.866944,0.656868
0.22,29.9,-49.1,1.77,0.45,0.529391,0.394988
0.13,29.6,-49.5,1.36,0.34,0.406946,0.30412
0.71,29.7,-50.3,3.17,0.77,0.95103,0.714511
0.28,29.2,-51.2,1.95,0.58,0.597234,0.474615
0.52,30.4,-49.9,2.82,0.59,0.813892,0.561948
1.5,30.8,-51.2,4.48,1.3,1.382327,1.124059
0.24,31.8,-50.2,1.81,0.52,0.552931,0.43612
0.21,32.4,-50.4,1.75,0.45,0.517219,0.375469
0.15,31.8,-50.7,1.42,0.39,0.43713,0.35305
0.87,32.3,-51.4,3.46,0.87,1.052749,0.820548
0.46,32.8,-52.3,2.55,0.75,0.765498,0.576074
0.36,33.4,-52.9,2.28,0.56,0.677199,0.496935
0.13,32.9,-53,1.41,0.3,0.406946,0.281305
1.07,32.1,-53.5,4.07,0.86,1.1675,0.796408
0.53,33.3,-53.8,2.71,0.65,0.821681,0.634424
0.73,35.1,-49,3.08,0.9,0.964332,0.829057
0.27,35.1,-48.1,1.98,0.47,0.586472,0.427737
0.51,34.9,-47.5,2.77,0.72,0.806028,0.565733
0.22,30.6,-58.8,1.86,0.38,0.529391,0.356095
0.18,30.7,-58.4,1.89,0.35,0.478852,0.26773
0.13,30.1,-58.3,1.35,0.37,0.406946,0.309729
